# Time-averaged data for fix rg
# TimeStep c_rg
0 2.59596
1000 2.48909
2000 2.54953
3000 2.62901
4000 2.68815
5000 2.61166
6000 2.69139
7000 2.56515
8000 2.57428
9000 2.53046
10000 2.53648
11000 2.39716
12000 2.42052
13000 2.46986
14000 2.32003
15000 2.27361
16000 2.41936
17000 2.37902
18000 2.40941
19000 2.42578
20000 2.41666
21000 2.46876
22000 2.50249
23000 2.58838
24000 2.60879
25000 2.59964
26000 2.61322
27000 2.54802
28000 2.59421
29000 2.48402
30000 2.52574
31000 2.51183
32000 2.49182
33000 2.49876
34000 2.54742
35000 2.43375
36000 2.32622
37000 2.40139
38000 2.34272
39000 2.41856
40000 2.35524
41000 2.37698
42000 2.39816
43000 2.24522
44000 2.25712
45000 2.38356
46000 2.36589
47000 2.36514
48000 2.27594
49000 2.426
50000 2.38115
51000 2.38967
52000 2.43493
53000 2.5001
54000 2.49365
55000 2.4039
56000 2.40175
57000 2.34308
58000 2.26757
59000 2.27454
60000 2.33378
61000 2.36518
62000 2.36265
63000 2.33021
64000 2.31055
65000 2.33499
66000 2.46736
67000 2.49293
68000 2.59009
69000 2.45334
70000 2.33606
71000 2.35966
72000 2.38503
73000 2.31283
74000 2.34483
75000 2.38898
76000 2.33153
77000 2.40202
78000 2.38379
79000 2.39738
80000 2.31925
81000 2.34511
82000 2.32941
83000 2.35843
84000 2.36528
85000 2.37686
86000 2.45595
87000 2.50163
88000 2.58888
89000 2.65696
90000 2.66734
91000 2.64885
92000 2.57069
93000 2.68121
94000 2.67396
95000 2.67682
96000 2.60673
97000 2.64301
98000 2.72895
99000 2.71853
100000 2.75487
101000 2.7661
102000 2.8831
103000 2.96073
104000 2.78537
105000 2.83823
106000 2.87528
107000 2.80447
108000 2.82401
109000 2.67321
110000 2.63869
111000 2.54979
112000 2.59098
113000 2.55624
114000 2.44326
115000 2.3885
116000 2.40675
117000 2.36867
118000 2.43467
119000 2.42113
120000 2.35496
121000 2.33294
122000 2.30999
123000 2.16172
124000 2.25608
125000 2.26969
126000 2.30428
127000 2.32961
128000 2.25871
129000 2.21927
130000 2.21912
131000 2.20588
132000 2.19213
133000 2.14325
134000 2.12183
135000 2.15231
136000 2.13019
137000 2.22068
138000 2.2872
139000 2.22286
140000 2.28856
141000 2.27294
142000 2.33095
143000 2.3674
144000 2.34255
145000 2.31573
146000 2.39255
147000 2.47029
148000 2.46964
149000 2.52651
150000 2.57484
151000 2.7116
152000 2.60526
153000 2.70948
154000 2.7307
155000 2.67447
156000 2.81487
157000 2.71739
158000 2.84246
159000 2.81902
160000 2.89201
161000 2.95045
162000 2.98633
163000 2.94344
164000 3.08082
165000 3.04855
166000 2.99672
167000 2.97016
168000 2.88498
169000 2.9002
170000 3.01413
171000 2.96633
172000 2.85543
173000 2.68502
174000 2.57977
175000 2.65268
176000 2.62306
177000 2.61059
178000 2.71155
179000 2.72366
180000 2.699
181000 2.74945
182000 2.86888
183000 2.84866
184000 2.95299
185000 2.90976
186000 2.86163
187000 2.86804
188000 3.02977
189000 3.05012
190000 2.9369
191000 2.78034
192000 2.68909
193000 2.67309
194000 2.70366
195000 2.74806
196000 2.66179
197000 2.68689
198000 2.68554
199000 2.72
200000 2.7209
