# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 600000 0 0.790842 24.412
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 1 1.66667e-06
5 0.9 257 0.000428333
6 1.1 562 0.000936667
7 1.3 470 0.000783333
8 1.5 404 0.000673333
9 1.7 347 0.000578333
10 1.9 397 0.000661667
11 2.1 413 0.000688333
12 2.3 553 0.000921667
13 2.5 612 0.00102
14 2.7 742 0.00123667
15 2.9 802 0.00133667
16 3.1 766 0.00127667
17 3.3 843 0.001405
18 3.5 894 0.00149
19 3.7 889 0.00148167
20 3.9 916 0.00152667
21 4.1 1008 0.00168
22 4.3 1001 0.00166833
23 4.5 986 0.00164333
24 4.7 1033 0.00172167
25 4.9 1096 0.00182667
26 5.1 1243 0.00207167
27 5.3 1183 0.00197167
28 5.5 1282 0.00213667
29 5.7 1281 0.002135
30 5.9 1329 0.002215
31 6.1 1379 0.00229833
32 6.3 1455 0.002425
33 6.5 1494 0.00249
34 6.7 1583 0.00263833
35 6.9 1618 0.00269667
36 7.1 1602 0.00267
37 7.3 1726 0.00287667
38 7.5 1804 0.00300667
39 7.7 1895 0.00315833
40 7.9 1901 0.00316833
41 8.1 2073 0.003455
42 8.3 2106 0.00351
43 8.5 2222 0.00370333
44 8.7 2382 0.00397
45 8.9 2578 0.00429667
46 9.1 2695 0.00449167
47 9.3 2799 0.004665
48 9.5 2949 0.004915
49 9.7 3124 0.00520667
50 9.9 3488 0.00581333
51 10.1 3629 0.00604833
52 10.3 3822 0.00637
53 10.5 4074 0.00679
54 10.7 4361 0.00726833
55 10.9 4721 0.00786833
56 11.1 4778 0.00796333
57 11.3 5129 0.00854833
58 11.5 5141 0.00856833
59 11.7 5636 0.00939333
60 11.9 5693 0.00948833
61 12.1 6006 0.01001
62 12.3 6371 0.0106183
63 12.5 6603 0.011005
64 12.7 6723 0.011205
65 12.9 7293 0.012155
66 13.1 7605 0.012675
67 13.3 8074 0.0134567
68 13.5 8371 0.0139517
69 13.7 8754 0.01459
70 13.9 9072 0.01512
71 14.1 9612 0.01602
72 14.3 10019 0.0166983
73 14.5 10449 0.017415
74 14.7 10875 0.018125
75 14.9 11496 0.01916
76 15.1 11850 0.01975
77 15.3 12479 0.0207983
78 15.5 12721 0.0212017
79 15.7 13201 0.0220017
80 15.9 13749 0.022915
81 16.1 14259 0.023765
82 16.3 14730 0.02455
83 16.5 15199 0.0253317
84 16.7 15355 0.0255917
85 16.9 15745 0.0262417
86 17.1 16311 0.027185
87 17.3 16116 0.02686
88 17.5 16287 0.027145
89 17.7 16200 0.027
90 17.9 15947 0.0265783
91 18.1 15542 0.0259033
92 18.3 15169 0.0252817
93 18.5 14363 0.0239383
94 18.7 13529 0.0225483
95 18.9 12325 0.0205417
96 19.1 11405 0.0190083
97 19.3 10509 0.017515
98 19.5 9057 0.015095
99 19.7 7833 0.013055
100 19.9 6739 0.0112317
101 20.1 5661 0.009435
102 20.3 4562 0.00760333
103 20.5 3786 0.00631
104 20.7 2873 0.00478833
105 20.9 2269 0.00378167
106 21.1 1745 0.00290833
107 21.3 1218 0.00203
108 21.5 878 0.00146333
109 21.7 620 0.00103333
110 21.9 463 0.000771667
111 22.1 296 0.000493333
112 22.3 186 0.00031
113 22.5 109 0.000181667
114 22.7 94 0.000156667
115 22.9 43 7.16667e-05
116 23.1 33 5.5e-05
117 23.3 25 4.16667e-05
118 23.5 17 2.83333e-05
119 23.7 8 1.33333e-05
120 23.9 3 5e-06
121 24.1 0 0
122 24.3 0 0
123 24.5 1 1.66667e-06
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
