# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 600000 0 0.799351 24.0738
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 1 1.66667e-06
5 0.9 194 0.000323333
6 1.1 377 0.000628333
7 1.3 336 0.00056
8 1.5 295 0.000491667
9 1.7 238 0.000396667
10 1.9 255 0.000425
11 2.1 304 0.000506667
12 2.3 364 0.000606667
13 2.5 430 0.000716667
14 2.7 502 0.000836667
15 2.9 588 0.00098
16 3.1 579 0.000965
17 3.3 657 0.001095
18 3.5 715 0.00119167
19 3.7 798 0.00133
20 3.9 796 0.00132667
21 4.1 849 0.001415
22 4.3 864 0.00144
23 4.5 976 0.00162667
24 4.7 1015 0.00169167
25 4.9 1082 0.00180333
26 5.1 1043 0.00173833
27 5.3 1164 0.00194
28 5.5 1140 0.0019
29 5.7 1239 0.002065
30 5.9 1316 0.00219333
31 6.1 1444 0.00240667
32 6.3 1556 0.00259333
33 6.5 1552 0.00258667
34 6.7 1597 0.00266167
35 6.9 1722 0.00287
36 7.1 1789 0.00298167
37 7.3 1933 0.00322167
38 7.5 2108 0.00351333
39 7.7 2174 0.00362333
40 7.9 2309 0.00384833
41 8.1 2509 0.00418167
42 8.3 2663 0.00443833
43 8.5 2783 0.00463833
44 8.7 2916 0.00486
45 8.9 3007 0.00501167
46 9.1 3270 0.00545
47 9.3 3431 0.00571833
48 9.5 3494 0.00582333
49 9.7 3660 0.0061
50 9.9 3924 0.00654
51 10.1 4054 0.00675667
52 10.3 4191 0.006985
53 10.5 4482 0.00747
54 10.7 4527 0.007545
55 10.9 4749 0.007915
56 11.1 4974 0.00829
57 11.3 5240 0.00873333
58 11.5 5522 0.00920333
59 11.7 5705 0.00950833
60 11.9 5987 0.00997833
61 12.1 6147 0.010245
62 12.3 6668 0.0111133
63 12.5 6942 0.01157
64 12.7 7161 0.011935
65 12.9 7528 0.0125467
66 13.1 7917 0.013195
67 13.3 8065 0.0134417
68 13.5 8561 0.0142683
69 13.7 8794 0.0146567
70 13.9 9365 0.0156083
71 14.1 9692 0.0161533
72 14.3 10198 0.0169967
73 14.5 10661 0.0177683
74 14.7 11035 0.0183917
75 14.9 11292 0.01882
76 15.1 12170 0.0202833
77 15.3 12258 0.02043
78 15.5 12869 0.0214483
79 15.7 13369 0.0222817
80 15.9 13752 0.02292
81 16.1 14297 0.0238283
82 16.3 14658 0.02443
83 16.5 14872 0.0247867
84 16.7 15231 0.025385
85 16.9 15495 0.025825
86 17.1 15685 0.0261417
87 17.3 16168 0.0269467
88 17.5 16056 0.02676
89 17.7 15878 0.0264633
90 17.9 15699 0.026165
91 18.1 15137 0.0252283
92 18.3 14293 0.0238217
93 18.5 13912 0.0231867
94 18.7 12967 0.0216117
95 18.9 12047 0.0200783
96 19.1 10914 0.01819
97 19.3 9937 0.0165617
98 19.5 8621 0.0143683
99 19.7 7316 0.0121933
100 19.9 6415 0.0106917
101 20.1 5240 0.00873333
102 20.3 4174 0.00695667
103 20.5 3393 0.005655
104 20.7 2674 0.00445667
105 20.9 2006 0.00334333
106 21.1 1566 0.00261
107 21.3 1118 0.00186333
108 21.5 767 0.00127833
109 21.7 567 0.000945
110 21.9 424 0.000706667
111 22.1 255 0.000425
112 22.3 146 0.000243333
113 22.5 93 0.000155
114 22.7 61 0.000101667
115 22.9 44 7.33333e-05
116 23.1 21 3.5e-05
117 23.3 10 1.66667e-05
118 23.5 5 8.33333e-06
119 23.7 3 5e-06
120 23.9 0 0
121 24.1 2 3.33333e-06
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
