# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 600000 0 0.805 23.9711
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 186 0.00031
6 1.1 391 0.000651667
7 1.3 359 0.000598333
8 1.5 252 0.00042
9 1.7 273 0.000455
10 1.9 273 0.000455
11 2.1 309 0.000515
12 2.3 373 0.000621667
13 2.5 471 0.000785
14 2.7 510 0.00085
15 2.9 562 0.000936667
16 3.1 593 0.000988333
17 3.3 669 0.001115
18 3.5 635 0.00105833
19 3.7 752 0.00125333
20 3.9 765 0.001275
21 4.1 715 0.00119167
22 4.3 874 0.00145667
23 4.5 935 0.00155833
24 4.7 948 0.00158
25 4.9 1027 0.00171167
26 5.1 1070 0.00178333
27 5.3 1090 0.00181667
28 5.5 1223 0.00203833
29 5.7 1355 0.00225833
30 5.9 1474 0.00245667
31 6.1 1503 0.002505
32 6.3 1565 0.00260833
33 6.5 1619 0.00269833
34 6.7 1856 0.00309333
35 6.9 1853 0.00308833
36 7.1 2051 0.00341833
37 7.3 2066 0.00344333
38 7.5 2166 0.00361
39 7.7 2205 0.003675
40 7.9 2453 0.00408833
41 8.1 2472 0.00412
42 8.3 2603 0.00433833
43 8.5 2742 0.00457
44 8.7 2917 0.00486167
45 8.9 2971 0.00495167
46 9.1 3151 0.00525167
47 9.3 3291 0.005485
48 9.5 3424 0.00570667
49 9.7 3708 0.00618
50 9.9 3949 0.00658167
51 10.1 4142 0.00690333
52 10.3 4168 0.00694667
53 10.5 4470 0.00745
54 10.7 4586 0.00764333
55 10.9 4913 0.00818833
56 11.1 5132 0.00855333
57 11.3 5346 0.00891
58 11.5 5645 0.00940833
59 11.7 5833 0.00972167
60 11.9 6138 0.01023
61 12.1 6384 0.01064
62 12.3 6749 0.0112483
63 12.5 6991 0.0116517
64 12.7 7267 0.0121117
65 12.9 7560 0.0126
66 13.1 7951 0.0132517
67 13.3 8367 0.013945
68 13.5 8913 0.014855
69 13.7 9186 0.01531
70 13.9 9715 0.0161917
71 14.1 10152 0.01692
72 14.3 10577 0.0176283
73 14.5 11007 0.018345
74 14.7 11362 0.0189367
75 14.9 11974 0.0199567
76 15.1 12467 0.0207783
77 15.3 12893 0.0214883
78 15.5 13547 0.0225783
79 15.7 14128 0.0235467
80 15.9 14279 0.0237983
81 16.1 14980 0.0249667
82 16.3 15052 0.0250867
83 16.5 15367 0.0256117
84 16.7 15343 0.0255717
85 16.9 15586 0.0259767
86 17.1 15574 0.0259567
87 17.3 15809 0.0263483
88 17.5 15435 0.025725
89 17.7 15330 0.02555
90 17.9 14956 0.0249267
91 18.1 14496 0.02416
92 18.3 13640 0.0227333
93 18.5 12965 0.0216083
94 18.7 12117 0.020195
95 18.9 11210 0.0186833
96 19.1 10085 0.0168083
97 19.3 9131 0.0152183
98 19.5 8089 0.0134817
99 19.7 7036 0.0117267
100 19.9 5720 0.00953333
101 20.1 5069 0.00844833
102 20.3 3938 0.00656333
103 20.5 3235 0.00539167
104 20.7 2492 0.00415333
105 20.9 1973 0.00328833
106 21.1 1485 0.002475
107 21.3 1036 0.00172667
108 21.5 766 0.00127667
109 21.7 511 0.000851667
110 21.9 365 0.000608333
111 22.1 280 0.000466667
112 22.3 158 0.000263333
113 22.5 113 0.000188333
114 22.7 62 0.000103333
115 22.9 43 7.16667e-05
116 23.1 29 4.83333e-05
117 23.3 17 2.83333e-05
118 23.5 6 1e-05
119 23.7 7 1.16667e-05
120 23.9 3 5e-06
121 24.1 0 0
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
