# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 600000 0 0.753983 24.2043
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 1 1.66667e-06
5 0.9 177 0.000295
6 1.1 414 0.00069
7 1.3 327 0.000545
8 1.5 268 0.000446667
9 1.7 258 0.00043
10 1.9 270 0.00045
11 2.1 325 0.000541667
12 2.3 397 0.000661667
13 2.5 494 0.000823333
14 2.7 577 0.000961667
15 2.9 629 0.00104833
16 3.1 666 0.00111
17 3.3 715 0.00119167
18 3.5 756 0.00126
19 3.7 787 0.00131167
20 3.9 859 0.00143167
21 4.1 931 0.00155167
22 4.3 1031 0.00171833
23 4.5 1006 0.00167667
24 4.7 1115 0.00185833
25 4.9 1179 0.001965
26 5.1 1274 0.00212333
27 5.3 1257 0.002095
28 5.5 1295 0.00215833
29 5.7 1365 0.002275
30 5.9 1447 0.00241167
31 6.1 1518 0.00253
32 6.3 1501 0.00250167
33 6.5 1678 0.00279667
34 6.7 1776 0.00296
35 6.9 1774 0.00295667
36 7.1 1885 0.00314167
37 7.3 2009 0.00334833
38 7.5 2146 0.00357667
39 7.7 2213 0.00368833
40 7.9 2229 0.003715
41 8.1 2365 0.00394167
42 8.3 2511 0.004185
43 8.5 2681 0.00446833
44 8.7 2748 0.00458
45 8.9 2923 0.00487167
46 9.1 3025 0.00504167
47 9.3 3287 0.00547833
48 9.5 3436 0.00572667
49 9.7 3660 0.0061
50 9.9 3787 0.00631167
51 10.1 4070 0.00678333
52 10.3 4181 0.00696833
53 10.5 4461 0.007435
54 10.7 4573 0.00762167
55 10.9 4920 0.0082
56 11.1 5182 0.00863667
57 11.3 5375 0.00895833
58 11.5 5545 0.00924167
59 11.7 5714 0.00952333
60 11.9 6173 0.0102883
61 12.1 6239 0.0103983
62 12.3 6579 0.010965
63 12.5 6927 0.011545
64 12.7 7180 0.0119667
65 12.9 7605 0.012675
66 13.1 7733 0.0128883
67 13.3 8326 0.0138767
68 13.5 8482 0.0141367
69 13.7 9010 0.0150167
70 13.9 9313 0.0155217
71 14.1 9593 0.0159883
72 14.3 10033 0.0167217
73 14.5 10504 0.0175067
74 14.7 10973 0.0182883
75 14.9 11437 0.0190617
76 15.1 11938 0.0198967
77 15.3 12235 0.0203917
78 15.5 12741 0.021235
79 15.7 13231 0.0220517
80 15.9 13725 0.022875
81 16.1 14088 0.02348
82 16.3 14369 0.0239483
83 16.5 15206 0.0253433
84 16.7 15340 0.0255667
85 16.9 15627 0.026045
86 17.1 15890 0.0264833
87 17.3 16018 0.0266967
88 17.5 15935 0.0265583
89 17.7 15932 0.0265533
90 17.9 15526 0.0258767
91 18.1 15048 0.02508
92 18.3 14610 0.02435
93 18.5 13796 0.0229933
94 18.7 12994 0.0216567
95 18.9 11869 0.0197817
96 19.1 10897 0.0181617
97 19.3 9735 0.016225
98 19.5 8552 0.0142533
99 19.7 7221 0.012035
100 19.9 6350 0.0105833
101 20.1 5085 0.008475
102 20.3 4148 0.00691333
103 20.5 3272 0.00545333
104 20.7 2530 0.00421667
105 20.9 2015 0.00335833
106 21.1 1503 0.002505
107 21.3 1130 0.00188333
108 21.5 769 0.00128167
109 21.7 512 0.000853333
110 21.9 382 0.000636667
111 22.1 236 0.000393333
112 22.3 170 0.000283333
113 22.5 98 0.000163333
114 22.7 71 0.000118333
115 22.9 45 7.5e-05
116 23.1 24 4e-05
117 23.3 18 3e-05
118 23.5 8 1.33333e-05
119 23.7 5 8.33333e-06
120 23.9 2 3.33333e-06
121 24.1 3 5e-06
122 24.3 1 1.66667e-06
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
